Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"U.S Transmission Industry Report

Everything you need to know about the fast changing transmission Industry

Energy Info Source's U.S. Transmission Re...",US Transmission Report-- Special!,"U.S. Transmission Industry Report is a 550-page, 4 part report. the report is a continuing update to your U.",U.S Transmission Industry Report
"Revision for Texoma.

Thanks.





          (See attached file: hpl0623.xls)

 - hpl0623.xls...","HPL NOMS FOR JUNE 23, 2000 REVISION #1",hpl0623.xls - hpl0623.xls.,Revision for Texoma
"=09=09=09=09[IMAGE] [IMAGE] [IMAGE] [IMAGE][IMAGE][IMAGE] [IMAGE]=09
[IMAGE]=09[IMAGE] Adult  Halloween Costumes  Bird  Masks  Glow-In-The-Dark =
 Mas...",HGTV Ideas Newsletter 10/24/01,[IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE,Halloween Treats
"I can't log in.  Its been messed up since I changed my password.  I'm good =
for lunch too.

 -----Original Message-----
From: =09Homco, Jim =20
Sent:...",HALLOWEEN BUS PARTY INFO,I'm good = for lunch too - why aren't you online in instant messanger. I left a message with Zu,HALLOWEEN BUS PARTY INFO
"There will be a Staff Meeting with Kevin Presto TODAY in 32c2 from 4 - 5pm.

Thanks 

T.Jae Black
East Power Trading
Assistant to Kevin Presto
off. 71...",Mandatory Staff Mtg.,there will be a Staff Meeting with Kevin Presto in 32c2 from 4 - 5pm. there will be a Staff Meeting with,Staff Meeting with Kevin Presto
"----- Forwarded by Jeff Dasovich/NA/Enron on 05/21/2001 07:04 PM -----

=09Jean Munoz <jmunoz@mcnallytemple.com>
=0905/21/2001 07:02 PM
=09=09=20
=09=...","CA Probe focuses on Dynegy, Mirant Plants","----- Forwarded by Jeff Dasovich/NA/Enron on 05/21/2001 07:04 PM. ""'Andy",'Andy Brown (E-mail)'
"We have good news for participants of the Enron Corp. Savings Plan.  Last Friday, the creditors' committee and our board of directors approved our pro...",Enron Reinstates Savings Plan Match,"beginning July 1, 2002, Enron will again match employee pre-tax contributions to the Savings Plan. the match will be credited to active",Enron Corp. Savings Plan
"Below is a copy of the Order lifting the $250/Mwh hard price cap for 
California ISO/PX.
FERC has also posted a notice of a  Dec. 15 special mtg. re t...",Update on FERC California Gas/Electric Matters,FERC has posted a notice of a Dec. 15 special mtg. re the investigation into the California market last summer ,California ISO/PX Price Cap
"Having discussed the matter with Brian Riley, HPL has no intention of 
contacting Coastal to negotiate any type of deal affecting the gas received 
in...",Coastal Ctr# 96008903 Meter 0984179 Sit#135714,Coastal has no intention of contacting Coastal to negotiate any type of deal. it is suggested that Nick Moshou contact his counterpart at Coastal,Coastal Ctr# 96008903 Meter 0984179
Tammie Schoppe ext. 3-4220Tammie Schoppe ext. 3-4220...,"Meet w/Andrew Houseman from Bloomberg and Louise K., Dave S",Tammie Schoppe ext. 3-4220Tammie Schoppe ext. 3-4220.,Tammie Schoppe 3-4220
"Tired of searching for your photos or important files?

Quit looking. We have a solution. We=0F're offering a Compaq tested and
approved AGFA(TM) Snap...",Digitize Your Memories with Compaq Scanners,a compaq tested and approved AGFA(TM) SnapScan Touch USB Scanner is available for just $99. Or for sharper,Compaq tested and approved AGFA SnapScan
"You have been granted access to the ETS Marketing Dashboard.

URL:		http://dashboard.corp.enron.com
Userid:		mmcconne
Password:	mmcconne

You may chan...",ETS Marketing Dashboard Access,mmcconne Password: mmcconne You may change your password at any time after the initial login by clicking on the ',ETS Marketing Dashboard
"Start Date: 4/30/01; HourAhead hour: 7;  No ancillary schedules awarded.  
Variances detected.
Variances detected in Load schedule.

    LOG MESSAGES:...",Start Date: 4/30/01; HourAhead hour: 7;  <CODESITE>,Variances detected in Load schedule. LOG MESSAGES: PARSING FILE -->> O:Portl,Start Date: 4/30/01; HourAhead hour: 7; CODESITE>
"Itinerary for Sally Beck
London
January 14-19, 2001


Tues, Jan 14  Continental Flt. CO 4 (Seat 01K)  
    6:55 pm Depart Houston-IAH
    9:55 am Arri...","Sally's Itinerary January 14-19, 2001","itinerary for Sally Beck London January 14-19, 2001 Tues, Jan 14 Continental Flt. CO 4 (Seat 01K)",Houston-IAH Time Difference
"FROM:  Enron Property & Services Corp

Bus passes for January are now available at the Parking and Transportation office on the third floor of the Enr...",Bus Pass and Parking Information,Enron Property & Services Corp Bus passes for January are now available at the parking and transportation office on the third floor of the Enron Building,Enron Property & Services Corp Bus passes for January
"I thrive on pressure.  My birthday is January 11th.  Is that close to her due 
date?

Kay


From: Carlos Sole@ENRON_DEVELOPMENT on 11/09/2000 03:25 PM...",Opportunities at ENA,my birthday is January 11th. Is that close to her due date?,Opportunities at ENA
"To view this email with images click below. 
http://gap.m0.net/m/s.asp?HB4618990864X1127749X80933X

FALL SALE at gapkids.com
Our Top Styles Under $20 ...",Clearance: Styles Under $20 at GapKids,send this email to a friend: http://gap.m0.net/m/s.asp?HB461899,GapKids fall sale
"Start Date: 3/8/01; HourAhead hour: 24;  No ancillary schedules awarded.  No 
variances detected.

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\We...",Start Date: 3/8/01; HourAhead hour: 24;  <CODESITE>,LOG MESSAGES: PARSING FILE --> O:PortlandWestDeskCaliforni,Start Date: 3/8/01; HourAhead hour: 24; CODESITE>
"Dear Peter,
With the holiday approaching many of you are looking forward to a few 
days off and to spending time with family and friends. If you have ...",Real Deals from Travelocity,Featured this week - Save up to $75 on airline tickets! - Great Holiday Fares! - Keep America Traveling!,Fare Watcher - Traveler Reviews
"Great news and congrats!




Robert Hemstock@ECT
11/26/2000 01:19 AM
To: Richard Shapiro/NA/Enron@Enron
cc: Aleck Dadson/TOR/ECT@ECT 

Subject: Update...",Update - Proposed Alberta Power Pool Rule Changes,Steve Kean participated in a conference call with John Lavorato et al on the proposed power pool rule changes. the power pool,Update - Proposed Alberta Power Pool Rule Changes
"Carlos,

I am working with NorthWestern in a negotiation similar to the Panda or Delta 
deal regarding the placement of a turbine.  NorthWestern has r...",Blue Dog Amended LLC,"NorthWestern has requested a draft of what the amended LLC document will look like, in particular, what rights and control will Enron have?",NorthWestern is working on an expedited schedule
"Thanks.  I will use this report, and we shouldn't need any more analysis on 
Post for the present.  Tim...",Fluvanna and Trew Ranch reports,"i will use this report, and we shouldn't need any more analysis on Post for the present.",Post for the Present
"Please get with Tina and work out how we will handle expense reimbursements 
for Greg's approval.  If Tina and Greg are not yet using the online forma...",<<Concur Expense Document>> - SWB 3/2/2001,"if Tina and Greg are not using the online format, then simply sending him original receipts probably won't do anything for him. ",Concur Expense Document>> - SWB 3/2/2001
"Stan,

Here's the latest message points from EEI regarding retail standards.

Jeff
---------------------- Forwarded by Jeff Brown/HOU/EES on 07/19/200...",Future of Retail UBP,"Jeff Brown/HOU/EES on 07/19/2000 08:28:52 AM --------------------- ""Micha",Future of Retail UBP
"-----Original Message-----
From: 	Cabrera, Reyna  
Sent:	Thursday, November 15, 2001 5:36 PM
To:	Blair, Lynn; Bodnar, Michael; Winckowski, Michele; Fa...",Storage Desk 3rd Party Storage Procedures,storage Desk 3rd Party Storage Procedures Attached are the Storage Desk 3rd Party Storage Procedures. Reyna Cabr,Storage Desk 3rd Party Storage Procedures
"This is the remainder of money being withheld by the receiver. It is not a 
settlement.


   
	Enron North America Corp.
	
	From:  Michael Kolman     ...",Ice Drilling cash received,"Enron North America Corp. received $23,835.47 from PricewaterhouseCoopers. this is the remainder of money being withheld",Ice Drilling cash received
"FYI:  Per Brent Hendry, I am forwarding to you'all the following 
comparisons.-Becky




	Becky Spencer@ECT
	03/05/2001 10:10 AM
		
		 To: Brent Hendr...",Conf. Agr. and Guaranty Comparisons,I need a comparison of these two sets of documents. I need to know how the more recent documents changed from the last drafts.,comparison
"looks neat, maybe needs some other coloured wall paint to personalize it

 -----Original Message-----
From: 	Livia_Zufferli@Monitor.com@ENRON  
Sent:	...",Pictures from my condo:  Message 1,Message 1 The guy in some of the shots is the vendor. the place was kinda messy yesterday when i visited it.,Pictures from my condo
Here is the transport sheet for July.  I believe its fairly current....,Capacity Sheet for July,transport sheet for July is a transport sheet. it's fairly current.,Transport sheet for July
"Congrats!

Brian
---------------------- Forwarded by Brian Redmond/HOU/ECT on 01/17/2000 06:=
37=20
PM ---------------------------
  =20
=09Enron Nort...",Global Risk Management Operations,Brian Redmond/HOU/ECT on 01/17/2000 06:= 37=20 PM =09Enron North America Corp. ,Global Risk Management Operations
"What do you think?  He came very highly recommended from Amanda via voicemail.
m
---------------------- Forwarded by Mike McConnell/HOU/ECT on 12/19/2...",Resume - David Pruner,m ------------------ Forwarded by Mike McConnell/HOU/ECT on 12/19/2000 10:05 AM ,Resume - David Pruner
"Reservation status has changed to RECEIVED. See attachment.

ASSIGNMENT_REF = 30912
SELLER_CODE = AZPS
SELLER_DUNS = 958982563
CUSTOMER_CODE = EPMI  
...",TRANSSTATUS 30912 RECEIVED,AZPS SELLER_DUNS = 958982563 CUSTOMER_CODE = EPMI CUSTOMER_DU,Reservation status has changed to RECEIVED
"o.k. I just received the canceled confirm.

Thanks@




   Kate Symes @ ECT                02/09/2001 03:10 PM

To: Evelyn Metoyer/Corp/Enron@ENRON
cc...",Bloomberg Missing deal,kate Evelyn Metoyer@ENRON 02/09/2001 03:10 PM to: Kate Symes @ ECT 02/09/2001 03,Bloomberg Missing deal
"Gail:

Attached is a form of ECI unanimous consent.  Will you accept fhis for the 
purpose of signing a repo agreement and transacting thereunder?  Pl...","Enron Credit Inc. (""ECI"") consent","Sara Shackleton Enron North America Corp. 1400 Smith Street, EB 3801a Houston, Texas 77002 713-85",ECI unanimous consent
"Hello --

Here is a better version of the initial Offline contact list.  We will update 
this as we proceed.  Best regards.

-- Rex...",Offline Contact List,a better version of the initial Offline contact list.,Offline Contact List
"You should see this reply from Mike -- it is more positive than the response 
from James New.  Sounds as if they have not yet finished their document ...",UK Submission of Positions,"you haven't yet seen the document on required changes to processes, systems, commercial practices. apologies for being out of the",UK Submission of Positions
